Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
2173,Internode,Sydney,2019-01-30T10:00:46.959216Z,1.9184042234444534,14.798,89327988.794377342,325057.18924681167,,14.201.98.2
1267,'Yes' Optus,Sydney,2019-01-30T10:17:17.306298Z,1.9184042234444534,14.927,89900469.544400662,299636.17018801771,,14.201.98.2
2173,Internode,Sydney,2019-01-30T10:34:11.323833Z,1.9184042234444534,16.902999999999999,89189249.091203332,269851.3639779907,,14.201.98.2
1267,'Yes' Optus,Sydney,2019-01-30T11:15:48.166358Z,1.9184042234444534,15.513,89786268.065762803,290206.2956537641,,14.201.98.2
1267,'Yes' Optus,Sydney,2019-01-30T11:30:38.236991Z,1.9184042234444534,15.598,91136192.79733591,18705639.85243157,,14.201.98.2
1267,'Yes' Optus,Sydney,2019-01-30T12:00:06.868582Z,1.9184042234444534,15.063000000000001,89705596.891034663,252190.64173625206,,14.201.98.2
2173,Internode,Sydney,2019-01-30T12:18:08.153009Z,1.9184042234444534,17.068999999999999,90735619.593618989,286412.1315380637,,14.201.98.2
1267,'Yes' Optus,Sydney,2019-01-30T13:10:57.127420Z,1.9184042234444534,17.233000000000001,74342894.160483956,305654.65172841353,,14.201.98.2
2173,Internode,Sydney,2019-01-30T13:35:22.795778Z,1.9184042234444534,17.103999999999999,86623461.135922641,298020.50280202396,,14.201.98.2
2173,Internode,Sydney,2019-01-30T14:17:46.790672Z,1.9184042234444534,16.937999999999999,60141682.056333236,305785.87147483241,,14.201.98.2
1267,'Yes' Optus,Sydney,2019-01-30T14:26:18.924878Z,1.9184042234444534,15.451000000000001,91278544.339524686,217667.48473836752,,14.201.98.2
1267,'Yes' Optus,Sydney,2019-01-30T15:06:01.542519Z,1.9184042234444534,14.94,55152755.792503193,271947.97609875101,,14.201.98.2
1267,'Yes' Optus,Sydney,2019-01-30T15:21:47.508033Z,1.9184042234444534,17.009,89971698.916239887,206804.57432204505,,14.201.98.2
1267,'Yes' Optus,Sydney,2019-01-30T15:25:28.637167Z,1.9184042234444534,15.010999999999999,88820352.608221859,255909.53050771204,,14.201.98.2
2173,Internode,Sydney,2019-01-30T16:06:16.150604Z,1.9184042234444534,16.815000000000001,91773695.497112602,288140.0350359361,,14.201.98.2
1267,'Yes' Optus,Sydney,2019-01-30T16:48:19.310234Z,1.9184042234444534,14.880000000000001,90361172.655816332,293161.4117137476,,14.201.98.2
2173,Internode,Sydney,2019-01-30T17:28:20.339168Z,1.9184042234444534,17.129999999999999,90654533.611502022,298898.92045001755,,14.201.98.2
1267,'Yes' Optus,Sydney,2019-01-30T17:52:26.256550Z,1.9184042234444534,17.027999999999999,91134407.959513262,310141.88513188355,,14.201.98.2
2629,Telstra,Sydney,2019-01-30T18:45:15.129701Z,1.9184042234444534,17.41,88241631.320585221,298699.6081186402,,14.201.98.2
1267,'Yes' Optus,Sydney,2019-01-30T18:51:50.431527Z,1.9184042234444534,17.283999999999999,90788701.518958822,312136.63626845047,,14.201.98.2
2173,Internode,Sydney,2019-01-30T19:42:46.454501Z,1.9184042234444534,16.225999999999999,65952285.411716975,297633.12889972661,,14.201.98.2
1267,'Yes' Optus,Sydney,2019-01-30T19:51:29.527723Z,1.9184042234444534,15.44,90157602.26975967,312172.76771602005,,14.201.98.2
1267,'Yes' Optus,Sydney,2019-01-30T20:03:15.466318Z,1.9184042234444534,14.868,90700714.31624727,312209.64210265764,,14.201.98.2
1267,'Yes' Optus,Sydney,2019-01-30T20:55:07.857231Z,1.9184042234444534,16.837,90704133.264451072,309190.38098404475,,14.201.98.2
1267,'Yes' Optus,Sydney,2019-01-30T21:20:58.465769Z,1.9184042234444534,22.984000000000002,71518523.751513526,304969.13313201326,,14.201.98.2
2173,Internode,Sydney,2019-01-30T21:47:48.061443Z,1.9184042234444534,16.893000000000001,91379913.727981225,249358.76915301499,,14.201.98.2
